stage,imp_id,syn_id,fit_seed,sample_seed,n_rows,n_group0,n_group1,file_path,timestamp
ctgan_syn,1,1,3001,4001,2890,1774,1116,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_01.csv,2026-03-05 17:07:54
ctgan_syn,1,2,3001,4002,2890,1781,1109,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_02.csv,2026-03-05 17:07:54
ctgan_syn,1,3,3001,4003,2890,1832,1058,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_03.csv,2026-03-05 17:07:55
ctgan_syn,1,4,3001,4004,2890,1814,1076,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_04.csv,2026-03-05 17:07:55
ctgan_syn,1,5,3001,4005,2890,1782,1108,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_05.csv,2026-03-05 17:07:55
ctgan_syn,1,6,3001,4006,2890,1820,1070,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_06.csv,2026-03-05 17:07:55
ctgan_syn,1,7,3001,4007,2890,1785,1105,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_07.csv,2026-03-05 17:07:56
ctgan_syn,1,8,3001,4008,2890,1786,1104,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_08.csv,2026-03-05 17:07:56
ctgan_syn,1,9,3001,4009,2890,1806,1084,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_09.csv,2026-03-05 17:07:56
ctgan_syn,1,10,3001,4010,2890,1794,1096,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_01/syn_10.csv,2026-03-05 17:07:56
ctgan_syn,2,1,3002,4011,2890,1822,1068,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_01.csv,2026-03-05 17:09:19
ctgan_syn,2,2,3002,4012,2890,1828,1062,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_02.csv,2026-03-05 17:09:19
ctgan_syn,2,3,3002,4013,2890,1799,1091,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_03.csv,2026-03-05 17:09:20
ctgan_syn,2,4,3002,4014,2890,1784,1106,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_04.csv,2026-03-05 17:09:20
ctgan_syn,2,5,3002,4015,2890,1788,1102,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_05.csv,2026-03-05 17:09:20
ctgan_syn,2,6,3002,4016,2890,1776,1114,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_06.csv,2026-03-05 17:09:20
ctgan_syn,2,7,3002,4017,2890,1829,1061,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_07.csv,2026-03-05 17:09:21
ctgan_syn,2,8,3002,4018,2890,1806,1084,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_08.csv,2026-03-05 17:09:21
ctgan_syn,2,9,3002,4019,2890,1816,1074,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_09.csv,2026-03-05 17:09:21
ctgan_syn,2,10,3002,4020,2890,1772,1118,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_02/syn_10.csv,2026-03-05 17:09:21
ctgan_syn,3,1,3003,4021,2890,1735,1155,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_01.csv,2026-03-05 17:10:46
ctgan_syn,3,2,3003,4022,2890,1753,1137,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_02.csv,2026-03-05 17:10:47
ctgan_syn,3,3,3003,4023,2890,1810,1080,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_03.csv,2026-03-05 17:10:47
ctgan_syn,3,4,3003,4024,2890,1780,1110,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_04.csv,2026-03-05 17:10:47
ctgan_syn,3,5,3003,4025,2890,1749,1141,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_05.csv,2026-03-05 17:10:47
ctgan_syn,3,6,3003,4026,2890,1832,1058,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_06.csv,2026-03-05 17:10:48
ctgan_syn,3,7,3003,4027,2890,1801,1089,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_07.csv,2026-03-05 17:10:48
ctgan_syn,3,8,3003,4028,2890,1739,1151,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_08.csv,2026-03-05 17:10:48
ctgan_syn,3,9,3003,4029,2890,1808,1082,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_09.csv,2026-03-05 17:10:48
ctgan_syn,3,10,3003,4030,2890,1782,1108,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_03/syn_10.csv,2026-03-05 17:10:49
ctgan_syn,4,1,3004,4031,2890,1849,1041,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_01.csv,2026-03-05 17:12:13
ctgan_syn,4,2,3004,4032,2890,1771,1119,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_02.csv,2026-03-05 17:12:13
ctgan_syn,4,3,3004,4033,2890,1771,1119,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_03.csv,2026-03-05 17:12:13
ctgan_syn,4,4,3004,4034,2890,1803,1087,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_04.csv,2026-03-05 17:12:14
ctgan_syn,4,5,3004,4035,2890,1814,1076,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_05.csv,2026-03-05 17:12:14
ctgan_syn,4,6,3004,4036,2890,1718,1172,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_06.csv,2026-03-05 17:12:14
ctgan_syn,4,7,3004,4037,2890,1819,1071,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_07.csv,2026-03-05 17:12:14
ctgan_syn,4,8,3004,4038,2890,1748,1142,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_08.csv,2026-03-05 17:12:15
ctgan_syn,4,9,3004,4039,2890,1844,1046,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_09.csv,2026-03-05 17:12:15
ctgan_syn,4,10,3004,4040,2890,1786,1104,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_04/syn_10.csv,2026-03-05 17:12:15
ctgan_syn,5,1,3005,4041,2890,1740,1150,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_01.csv,2026-03-05 17:13:40
ctgan_syn,5,2,3005,4042,2890,1856,1034,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_02.csv,2026-03-05 17:13:41
ctgan_syn,5,3,3005,4043,2890,1796,1094,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_03.csv,2026-03-05 17:13:41
ctgan_syn,5,4,3005,4044,2890,1815,1075,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_04.csv,2026-03-05 17:13:41
ctgan_syn,5,5,3005,4045,2890,1795,1095,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_05.csv,2026-03-05 17:13:41
ctgan_syn,5,6,3005,4046,2890,1793,1097,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_06.csv,2026-03-05 17:13:42
ctgan_syn,5,7,3005,4047,2890,1816,1074,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_07.csv,2026-03-05 17:13:42
ctgan_syn,5,8,3005,4048,2890,1843,1047,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_08.csv,2026-03-05 17:13:42
ctgan_syn,5,9,3005,4049,2890,1725,1165,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_09.csv,2026-03-05 17:13:42
ctgan_syn,5,10,3005,4050,2890,1795,1095,../../../data/processed/chap/ensemble_50run/synthetic_ctgan/imp_05/syn_10.csv,2026-03-05 17:13:43
