"stage","imp_id","syn_id","seed","n_rows","n_group0","n_group1","file_path","timestamp"
"mice",NA,NA,42,3612,NA,NA,NA,"2026-02-26 17:38:52"
"imputed",1,NA,42,3612,3455,157,"../../../data/processed/chap/ensemble_50run/imputed/imp_01.csv","2026-02-26 17:38:52"
"train",1,NA,1001,2890,2764,126,"../../../data/processed/chap/ensemble_50run/train/train_imp_01.csv","2026-02-26 17:38:53"
"test",1,NA,1001,722,691,31,"../../../data/processed/chap/ensemble_50run/test/test_imp_01.csv","2026-02-26 17:38:53"
"ecdf_syn",1,1,2001,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_01.csv","2026-02-26 17:38:55"
"ecdf_syn",1,2,2002,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_02.csv","2026-02-26 17:38:57"
"ecdf_syn",1,3,2003,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_03.csv","2026-02-26 17:38:59"
"ecdf_syn",1,4,2004,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_04.csv","2026-02-26 17:39:01"
"ecdf_syn",1,5,2005,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_05.csv","2026-02-26 17:39:03"
"ecdf_syn",1,6,2006,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_06.csv","2026-02-26 17:39:05"
"ecdf_syn",1,7,2007,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_07.csv","2026-02-26 17:39:07"
"ecdf_syn",1,8,2008,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_08.csv","2026-02-26 17:39:10"
"ecdf_syn",1,9,2009,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_09.csv","2026-02-26 17:39:12"
"ecdf_syn",1,10,2010,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_01/ecdf_10.csv","2026-02-26 17:39:14"
"imputed",2,NA,42,3612,3455,157,"../../../data/processed/chap/ensemble_50run/imputed/imp_02.csv","2026-02-26 17:39:14"
"train",2,NA,1002,2890,2764,126,"../../../data/processed/chap/ensemble_50run/train/train_imp_02.csv","2026-02-26 17:39:14"
"test",2,NA,1002,722,691,31,"../../../data/processed/chap/ensemble_50run/test/test_imp_02.csv","2026-02-26 17:39:14"
"ecdf_syn",2,1,2011,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_01.csv","2026-02-26 17:39:16"
"ecdf_syn",2,2,2012,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_02.csv","2026-02-26 17:39:18"
"ecdf_syn",2,3,2013,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_03.csv","2026-02-26 17:39:20"
"ecdf_syn",2,4,2014,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_04.csv","2026-02-26 17:39:23"
"ecdf_syn",2,5,2015,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_05.csv","2026-02-26 17:39:25"
"ecdf_syn",2,6,2016,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_06.csv","2026-02-26 17:39:27"
"ecdf_syn",2,7,2017,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_07.csv","2026-02-26 17:39:29"
"ecdf_syn",2,8,2018,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_08.csv","2026-02-26 17:39:31"
"ecdf_syn",2,9,2019,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_09.csv","2026-02-26 17:39:33"
"ecdf_syn",2,10,2020,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_02/ecdf_10.csv","2026-02-26 17:39:35"
"imputed",3,NA,42,3612,3455,157,"../../../data/processed/chap/ensemble_50run/imputed/imp_03.csv","2026-02-26 17:39:35"
"train",3,NA,1003,2890,2764,126,"../../../data/processed/chap/ensemble_50run/train/train_imp_03.csv","2026-02-26 17:39:36"
"test",3,NA,1003,722,691,31,"../../../data/processed/chap/ensemble_50run/test/test_imp_03.csv","2026-02-26 17:39:36"
"ecdf_syn",3,1,2021,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_01.csv","2026-02-26 17:39:38"
"ecdf_syn",3,2,2022,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_02.csv","2026-02-26 17:39:40"
"ecdf_syn",3,3,2023,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_03.csv","2026-02-26 17:39:42"
"ecdf_syn",3,4,2024,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_04.csv","2026-02-26 17:39:44"
"ecdf_syn",3,5,2025,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_05.csv","2026-02-26 17:39:46"
"ecdf_syn",3,6,2026,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_06.csv","2026-02-26 17:39:48"
"ecdf_syn",3,7,2027,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_07.csv","2026-02-26 17:39:50"
"ecdf_syn",3,8,2028,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_08.csv","2026-02-26 17:39:52"
"ecdf_syn",3,9,2029,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_09.csv","2026-02-26 17:39:55"
"ecdf_syn",3,10,2030,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_03/ecdf_10.csv","2026-02-26 17:39:57"
"imputed",4,NA,42,3612,3455,157,"../../../data/processed/chap/ensemble_50run/imputed/imp_04.csv","2026-02-26 17:39:57"
"train",4,NA,1004,2890,2764,126,"../../../data/processed/chap/ensemble_50run/train/train_imp_04.csv","2026-02-26 17:39:57"
"test",4,NA,1004,722,691,31,"../../../data/processed/chap/ensemble_50run/test/test_imp_04.csv","2026-02-26 17:39:57"
"ecdf_syn",4,1,2031,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_01.csv","2026-02-26 17:39:59"
"ecdf_syn",4,2,2032,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_02.csv","2026-02-26 17:40:01"
"ecdf_syn",4,3,2033,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_03.csv","2026-02-26 17:40:03"
"ecdf_syn",4,4,2034,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_04.csv","2026-02-26 17:40:06"
"ecdf_syn",4,5,2035,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_05.csv","2026-02-26 17:40:08"
"ecdf_syn",4,6,2036,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_06.csv","2026-02-26 17:40:10"
"ecdf_syn",4,7,2037,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_07.csv","2026-02-26 17:40:12"
"ecdf_syn",4,8,2038,2890,2764,126,"../../../data/processed/chap/ensemble_50run/synthetic_ecdf/imp_04/ecdf_08.csv","2026-02-26 17:40:14"
