method,variable,cosine,js,wasserstein
ctgan,dbp_bin1,0.15424,0.05297,0.04714
ctgan,dbp_bin10,0.11903,0.04264,0.04788
ctgan,dbp_bin2,0.10384,0.0408,0.06937
ctgan,dbp_bin3,0.06377,0.03614,0.19027
ctgan,dbp_bin4,0.11004,0.03513,0.04008
ctgan,dbp_bin5,0.11378,0.03587,0.18526
ctgan,dbp_bin6,0.0962,0.03228,0.04367
ctgan,dbp_bin7,0.0895,0.03688,0.04531
ctgan,dbp_bin8,0.07839,0.02485,0.04171
ctgan,dbp_bin9,0.08997,0.03199,0.0656
ctgan,sbp_bin1,0.23964,0.04036,0.04534
ctgan,sbp_bin10,0.11853,0.02167,0.04141
ctgan,sbp_bin2,0.15287,0.03741,0.0376
ctgan,sbp_bin3,0.09886,0.03688,0.16464
ctgan,sbp_bin4,0.11211,0.04296,0.06158
ctgan,sbp_bin5,0.10864,0.03178,0.02651
ctgan,sbp_bin6,0.10437,0.03609,0.04685
ctgan,sbp_bin7,0.0814,0.0417,0.0669
ctgan,sbp_bin8,0.1155,0.03304,0.1285
ctgan,sbp_bin9,0.1469,0.03249,0.05948
ecdf,dbp_bin1,0.17014,0.05507,0.00554
ecdf,dbp_bin10,0.09757,0.03835,0.00861
ecdf,dbp_bin2,0.09276,0.03399,0.01266
ecdf,dbp_bin3,0.0268,0.03282,0.04598
ecdf,dbp_bin4,0.10664,0.03286,0.01063
ecdf,dbp_bin5,0.09567,0.01955,0.05535
ecdf,dbp_bin6,0.0858,0.02827,0.02254
ecdf,dbp_bin7,0.08083,0.03339,0.01875
ecdf,dbp_bin8,0.06763,0.02459,0.02878
ecdf,dbp_bin9,0.08028,0.02595,0.01883
ecdf,sbp_bin1,0.27232,0.0418,0.00459
ecdf,sbp_bin10,0.10899,0.02128,0.01651
ecdf,sbp_bin2,0.14632,0.03416,0.00741
ecdf,sbp_bin3,0.05877,0.03203,0.0608
ecdf,sbp_bin4,0.1039,0.03759,0.03873
ecdf,sbp_bin5,0.10032,0.03064,0.01201
ecdf,sbp_bin6,0.08917,0.03542,0.01475
ecdf,sbp_bin7,0.07805,0.0356,0.02537
ecdf,sbp_bin8,0.10872,0.02265,0.04038
ecdf,sbp_bin9,0.1166,0.02402,0.01661
