,GM,SDV,CTGAN,WGANGP,ECDF
ma1,0.09348096950252491,0.052969850593996864,0.06183005854238464,0.08902511186704408,0.018229166666666664
hars1,0.1265143031242244,0.06200958609536901,0.07178619109045589,0.09983564549747707,0.018995098039215667
ma2,0.08418346102356988,0.07269101842774826,0.09649836893058858,0.23377133454305776,0.03333333333333334
hars2,0.1211593132402852,0.04655237785647273,0.07587631683185203,0.2591979584711477,0.017500000000000043
ma3,0.10389979224832108,0.026921704481282647,0.1137705807833703,0.1825924706243489,0.019583333333333324
hars3,0.1552462362717843,0.04216692297282515,0.04382764676690985,0.07830780702403008,0.025173611111111088
ma4,0.12399153858555863,0.02054753392907053,0.08438400260123925,0.13501270103488472,0.028030303030303072
hars4,0.020913293787458986,0.06367822895635249,0.07384617774700175,0.07894980633553814,0.02888257575757574
ma5,0.12667051662271495,0.04876812241023203,0.22423743001968333,0.13944928346299013,0.07227517106549394
hars5,0.12270511453631239,0.06814051104842232,0.13487469519173909,0.14930111456458517,0.028549382716049444
ma6,0.06667860486389014,0.04387147620517805,0.14853527010659556,0.1484981722156761,0.020833333333333315
hars6,0.02934197965884094,0.10911092049753714,0.06495757050360293,0.04915563191994271,0.02876984126984126
ma7,0.0674542355902088,0.08831940806379722,0.10326977059741499,0.22641701422357613,0.03194444444444445
hars7,0.05853679066113221,0.053910443335936545,0.04811704572866604,0.164070920234479,0.05583855799373062
ma8,0.06502716995352166,0.07546888469303155,0.089832122963689,0.2000725802855522,0.01194852941176468
hars8,0.13558252420113326,0.06972110199388126,0.08515790562238662,0.09182176167160358,0.02296573067632853
ma9,0.10666001783513329,0.029485042261932104,0.06074210157978095,0.27111408861440195,0.0672476261869069
hars9,0.07620570710538027,0.04236008434853223,0.08966446128680464,0.13973879416538204,0.044091710758377
ma10,0.16758043553227528,0.10831826069214087,0.1353143913063098,0.29947780381452893,0.013888888888888893
hars10,0.08154234345630179,0.08894784908774529,0.1314728966510316,0.058167419374322536,0.025610119047618927
ma11,0.038159914306419886,0.0707112057904815,0.19100498942270586,0.24016320175397934,0.02550287356321836
hars11,0.09158728620513382,0.05404141532929366,0.06273535015435996,0.15883315155679972,0.03596230158730143
ma12,0.1320073404190162,0.03723460245870322,0.040374452311353476,0.36169782017886587,0.022988505747126405
hars12,0.09639838395510733,0.1253284327395811,0.1418984023055846,0.15378148084645746,0.12282592256503319
ma13,0.15085457194463758,0.12363116060136747,0.24189340187619252,0.2185692342523858,0.01704545454545452
hars13,0.1405595847959116,0.08190400622208208,0.1353535115478533,0.31805788247126965,0.027199074074074073
ma14,0.06675700619064738,0.03935965969621076,0.08727294111129148,0.206103866573126,0.020312499999999997
hars14,0.08638322689113262,0.09012869097431181,0.047244458105867145,0.05568751746754784,0.06603867623604429
